Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
492,"DA Zetzsche, DW Arner, ...","Decentralized finance",2020,"Journal of Financial …","academic.oup.com","https://academic.oup.com/jfr/advance-article-pdf/doi/10.1093/jfr/fjaa010/37064506/fjaa010.pdf","https://scholar.google.com/scholar?cites=15432777236234038211&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-07-30 23:13:48","PDF","10.1093/jfr/fjaa010/37064506/fjaa010","","",,,,,492,123.00,164,3,4,"… we introduce DeFi, put DeFi in the context of the traditional financial economy, connect DeFi to … of the financial services value chain are decentralized, there will be a reconcentration in a …","https://academic.oup.com/jfr/advance-article-pdf/doi/10.1093/jfr/fjaa010/37064506/fjaa010.pdf","https://scholar.google.com/scholar?q=related:w-t2RyE9LNYJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
114,"JR Jensen, V von Wachter, ...","An introduction to decentralized finance (defi)",2021,"… Systems Informatics and …","csimq-journals.rtu.lv","https://csimq-journals.rtu.lv/article/view/csimq.2021-26.03","https://scholar.google.com/scholar?cites=2352240631268997374&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-07-30 23:13:48","","","","",,,,,114,38.00,38,3,3,"… In this article, we situate the DeFi concept in the theoretical context … extends the previous publication on managing risk in DeFi … technology and decentralized finance. Section 3 presents …","https://csimq-journals.rtu.lv/article/download/csimq.2021-26.03/2570","https://scholar.google.com/scholar?q=related:_ngHNWTWpCAJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
86,"P Schueffel","Defi: Decentralized finance-an introduction and overview",2021,"Journal of Innovation Management","journalengineering.fe.up.pt","https://journalengineering.fe.up.pt/index.php/jim/article/view/919","https://scholar.google.com/scholar?cites=7092870986750117854&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-07-30 23:13:48","","","","",,,,,86,28.67,86,1,3,"… DeFi, short for decentralized finance, is a new paradigm that enjoys increasing popularity in the financial world. DeFi … This is done by deploying software components to a decentralized …","https://journalengineering.fe.up.pt/index.php/jim/article/download/2183-0606_009-003_0001/563","https://scholar.google.com/scholar?q=related:3kfqMpXwbmIJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
49,"R Auer, B Haslhofer, S Kitzler, P Saggese, F Victor","The technology of decentralized finance (DeFi)",2024,"Digital Finance","Springer","https://link.springer.com/article/10.1007/s42521-023-00088-8","https://scholar.google.com/scholar?cites=9095550909588095387&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-07-30 23:13:48","","10.1007/s42521-023-00088-8","","",,,,,49,49.00,10,5,1,"… DeFi protocols. We analyze and explain the individual components and how they interact through the lens of a DeFi … for the most relevant DeFi categories, ie, decentralized exchanges, …","https://www.bis.org/publ/work1066.pdf","https://scholar.google.com/scholar?q=related:m8F6qlzjOX4J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
62,"PK Ozili","Decentralized finance research and developments around the world",2022,"Journal of Banking and Financial Technology","Springer","https://link.springer.com/article/10.1007/s42786-022-00044-x","https://scholar.google.com/scholar?cites=7536683685883398252&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-07-30 23:13:48","HTML","10.1007/s42786-022-00044-x","","",,,,,62,31.00,62,1,2,"… Decentralized finance is financial services … decentralized finance (DeFi) research and development around the world. The findings of the literature review are that decentralized finance …","https://link.springer.com/article/10.1007/s42786-022-00044-x","https://scholar.google.com/scholar?q=related:bMiPmeGtl2gJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
140,"K Qin, L Zhou, Y Afonin, L Lazzaretti, ...","CeFi vs. DeFi--Comparing Centralized to Decentralized Finance",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2106.08157","https://scholar.google.com/scholar?cites=17338147575244745835&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-07-30 23:13:48","","","","",,,,,140,46.67,28,5,3,"… writing, DeFi offers consistent rates beyond 8% [12]. On the one hand, DeFi enables mirroring … systematically the traditional Centralized Finance and Decentralized Finance ecosystems. …","https://defi-learning.org/assets/material/arthur-cefi-vs-defi-2106.08157.pdf","https://scholar.google.com/scholar?q=related:a2zDtVt5nfAJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
270,"CR Harvey, A Ramachandran, J Santoro","DeFi and the Future of Finance",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=YCY_EAAAQBAJ&oi=fnd&pg=PR1&dq=defi%7Cdecentralized+finance&ots=9zzFRMfVFx&sig=OWFvExy2XwsON0jBk9kkC5QYgrs","https://scholar.google.com/scholar?cites=10144002861855213033&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-07-30 23:13:48","BOOK","","","",,,,,270,90.00,90,3,3,"… the new world of Decentralized Finance. The book … of finance. The authors provide the reader with a clear assessment of the problems with the current financial system and how DeFi …","https://compoundmaven.com/wp-content/uploads/2022/08/DeFi-And-The-Future-Of-Finance-Duke-University-August-2021.pdf","https://scholar.google.com/scholar?q=related:6QVtjdu8xowJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
93,"AD Popescu","Decentralized finance (defi)–the lego of finance",2020,"Social Sciences and Education Research Review","ceeol.com","https://www.ceeol.com/search/article-detail?id=952956","https://scholar.google.com/scholar?cites=7770809754186545764&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-07-30 23:13:48","","","","",,,,,93,23.25,93,1,4,"… DeFi is the movement that leverages decentralized networks … and researches on Decentralized Finance with focus on its … modern finance by creating a new landscape for innovation. …","https://www.academia.edu/download/64327296/SSERR_2019_7_1.pdf#page=321","https://scholar.google.com/scholar?q=related:ZPptx0x212sJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
347,"S Werner, D Perez, L Gudgeon, ...","Sok: Decentralized finance (defi)",2022,"Proceedings of the 4th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3558535.3559780","https://scholar.google.com/scholar?cites=10289149257010568232&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-07-30 23:13:48","","10.1145/3558535.3559780","","",,,,,347,173.50,87,4,2,"… A critical part of the debate between the DeFi Optimist and the DeFi Pessimist, … of DeFi, seeking to allow newcomers to the eld to discover the essential features and problems of the DeFi …","https://dl.acm.org/doi/pdf/10.1145/3558535.3559780","https://scholar.google.com/scholar?q=related:KNwWKbxmyo4J:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
25,"M Aquilina, J Frost, A Schrimpf","Decentralized finance (DeFi): a functional approach",2024,"Journal of Financial Regulation","academic.oup.com","https://academic.oup.com/jfr/article-abstract/10/1/1/7511072","https://scholar.google.com/scholar?cites=17535744702053522737&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-07-30 23:13:48","","","","",,,,,25,25.00,8,3,1,"… the use of DeFi applications by existing financial institutions lead to greater interconnections with traditional finance (TradFi). We argue that many of the functions that DeFi tries to mimic …","https://repec.cepr.org/repec/cpr/ceprdp/DP17810.pdf","https://scholar.google.com/scholar?q=related:MZ3W7eV6W_MJ:scholar.google.com/&scioq=defi%7Cdecentralized+finance&hl=en&as_sdt=0,5"
