Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
711,"Y Chen, C Bellavitis","Blockchain disruption and decentralized finance: The rise of decentralized business models",2020,"Journal of Business Venturing Insights","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352673419300824","https://scholar.google.com/scholar?cites=14699925670866060526&as_sdt=2005&sciodt=0,5&hl=en",127,"2024-08-03 21:02:48","","","","",,,,,711,177.75,356,2,4,"… In this article, we assess the benefits of decentralized finance, identify existing business … of financial technology, decentralized finance may reshape the structure of modern finance and …","https://www.researchgate.net/profile/Yan-Chen-30/publication/337111343_Blockchain_Disruption_and_Decentralized_Finance_The_Rise_of_Decentralized_Business_Models/links/6078884c907dcf667ba12209/Blockchain-Disruption-and-Decentralized-Finance-The-Rise-of-Decentralized-Business-Models.pdf","https://scholar.google.com/scholar?q=related:7gSenIOgAMwJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
692,"F Schär","Decentralized finance: On blockchain-and smart contract-based financial markets",2021,"FRB of St. Louis Review","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3843844","https://scholar.google.com/scholar?cites=13347404977253122569&as_sdt=2005&sciodt=0,5&hl=en",26,"2024-08-03 21:02:48","","","","",,,,,692,230.67,692,1,3,"… Decentralized finance (DeFi) is a blockchain-based financial infrastructure that has recently … existing financial services in a more open and transparent way. In particular, DeFi does not …","https://edoc.unibas.ch/86500/1/decentralized-finance-on-blockchain-and-smart-contract-based-financial-markets.pdf","https://scholar.google.com/scholar?q=related:CQJ09huCO7kJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
492,"DA Zetzsche, DW Arner…","Decentralized finance",2020,"Journal of Financial …","academic.oup.com","https://academic.oup.com/jfr/advance-article-pdf/doi/10.1093/jfr/fjaa010/37064506/fjaa010.pdf","https://scholar.google.com/scholar?cites=15432777236234038211&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-08-03 21:02:48","PDF","10.1093/jfr/fjaa010/37064506/fjaa010","","",,,,,492,123.00,164,3,4,"… DeFi, put DeFi in the context of the traditional financial … effectiveness of traditional financial regulation and enforcement. … of the financial services value chain are decentralized, there will …","https://academic.oup.com/jfr/advance-article-pdf/doi/10.1093/jfr/fjaa010/37064506/fjaa010.pdf","https://scholar.google.com/scholar?q=related:w-t2RyE9LNYJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
347,"S Werner, D Perez, L Gudgeon…","Sok: Decentralized finance (defi)",2022,"… Advances in Financial …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3558535.3559780","https://scholar.google.com/scholar?cites=10289149257010568232&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-08-03 21:02:48","","10.1145/3558535.3559780","","",,,,,347,173.50,87,4,2,"… A critical part of the debate between the DeFi Optimist and the DeFi Pessimist, … of DeFi, seeking to allow newcomers to the eld to discover the essential features and problems of the DeFi …","https://dl.acm.org/doi/pdf/10.1145/3558535.3559780","https://scholar.google.com/scholar?q=related:KNwWKbxmyo4J:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
270,"CR Harvey, A Ramachandran, J Santoro","DeFi and the Future of Finance",2021,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=YCY_EAAAQBAJ&oi=fnd&pg=PR1&dq=defi+decentralized+finance&ots=9zzFRNe_Gp&sig=susNTsmLPIkomctqA58wU3CS2ls","https://scholar.google.com/scholar?cites=10144002861855213033&as_sdt=2005&sciodt=0,5&hl=en",24,"2024-08-03 21:02:48","BOOK","","","",,,,,270,90.00,90,3,3,"… with the current financial system and how DeFi solves many of these problems. The essence of DeFi is that we … DeFi, or decentralized finance, seeks to build and combine opensource …","https://compoundmaven.com/wp-content/uploads/2022/08/DeFi-And-The-Future-Of-Finance-Duke-University-August-2021.pdf","https://scholar.google.com/scholar?q=related:6QVtjdu8xowJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
238,"K Qin, L Zhou, B Livshits, A Gervais","Attacking the defi ecosystem with flash loans for fun and profit",2021,"International conference on financial …","Springer","https://link.springer.com/chapter/10.1007/978-3-662-64322-8_1?trk=public_post_comment-text","https://scholar.google.com/scholar?cites=12331351253473414538&as_sdt=2005&sciodt=0,5&hl=en",263,"2024-08-03 21:02:48","","10.1007/978-3-662-64322-8_1","","",,,,,238,79.33,60,4,3,"… for the nascent decentralized finance (DeFi) ecosystem. We … DeFi ecosystem. We show how malicious adversaries can efficiently maximize an attack profit and hence damage the DeFi …","https://arxiv.org/pdf/2003.03810","https://scholar.google.com/scholar?q=related:is3Zd6HCIasJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
231,"S Karim, BM Lucey, MA Naeem, GS Uddin","Examining the interrelatedness of NFTs, DeFi tokens and cryptocurrencies",2022,"Finance Research Letters","Elsevier","https://www.sciencedirect.com/science/article/pii/S1544612322000253","https://scholar.google.com/scholar?cites=10512205442811921226&as_sdt=2005&sciodt=0,5&hl=en",188,"2024-08-03 21:02:48","HTML","","","",,,,,231,115.50,58,4,2,"… The short form of Decentralized Finance (DeFi), is an umbrella term for various financial … Inspired from blockchain, DeFi offers a decentralized system without human intervention to …","https://www.sciencedirect.com/science/article/pii/S1544612322000253","https://scholar.google.com/scholar?q=related:SoO7eCfb4pEJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
212,"J Xu, K Paruch, S Cousaert, Y Feng","Sok: Decentralized exchanges (dex) with automated market maker (amm) protocols",2023,"ACM Computing Surveys","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3570639","https://scholar.google.com/scholar?cites=7091596321374591475&as_sdt=2005&sciodt=0,5&hl=en",398,"2024-08-03 21:02:48","","10.1145/3570639","","",,,,,212,212.00,53,4,1,"… As an integral part of the decentralized finance (DeFi) ecosystem, decentralized exchanges (… Finally, we conduct a comprehensive literature review on related work covering both DeFi …","https://arxiv.org/pdf/2103.12732&ved=2ahUKEwjLytOBv-XzAhWL_rsIHXnwDWkQFnoECDwQAQ&usg=AOvVaw33J9baUr0BCOz4cn4xxQLL","https://scholar.google.com/scholar?q=related:89n_CUhpamIJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
192,"I Yousaf, L Yarovaya","Static and dynamic connectedness between NFTs, Defi and other assets: Portfolio implication",2022,"Global Finance Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S1044028322000217","https://scholar.google.com/scholar?cites=15210849063983686335&as_sdt=2005&sciodt=0,5&hl=en",193,"2024-08-03 21:02:48","","","","",,,,,192,96.00,96,2,2,"… Decentralized Finance (Defi) assets, also played an important role in the recent growth of the cryptocurrency market (Dowling, 2021a). While conventional cryptocurrencies have been …","","https://scholar.google.com/scholar?q=related:v6LUFqLKF9MJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
178,"Y El Faqir, J Arroyo, S Hassan","An overview of decentralized autonomous organizations on the blockchain",2020,"… of the 16th international symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3412569.3412579","https://scholar.google.com/scholar?cites=1995647470060806165&as_sdt=2005&sciodt=0,5&hl=en",473,"2024-08-03 21:02:48","","10.1145/3412569.3412579","","",,,,,178,44.50,59,3,4,"… decentralized finance (DeFi) is MakerDAO, 4 which began in 2015 and was released in December 2017 [23]. MakerDAO aims to “bring financial … that avoids financial risk when Ethereum…","https://docta.ucm.es/bitstreams/6909c793-1eb4-41e7-90ae-fba0b41d8cee/download","https://scholar.google.com/scholar?q=related:FaDh9cz2sRsJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=0,5&as_ylo=2013&as_vis=1"
